1459012046.579000, /muse/acc, -218.75034, 964.8453, 136.71896
1459012046.585000, /muse/elements/raw_fft3, -2.8844469, 1.2168638, -1.5088902, -1.4838461, -3.8535228, -7.776498, -4.28042, -6.6517415, -3.3622742, -5.0560064, -1.4914336, 3.1324477, 0.9902241, -3.150104, -5.4250813, -5.262206, -5.4418826, -3.6238048, -3.274825, -5.0302205, -4.641566, -5.6193604, -2.6184926, -5.3056316, -14.927474, -8.665985, -6.924232, -3.8017693, -4.196628, -4.140276, -2.4078517, -6.399717, -15.945101, -15.441671, -12.669191, -6.487392, -4.4760427, -4.364798, -4.366423, -7.047067, -9.896686, -12.380565, -9.3942, -8.907671, -5.932394, -5.720313, -5.11862, -7.2859383, -10.811173, -6.902255, -9.381214, -19.538189, -7.359784, -3.399239, -6.3086743, -11.358979, -13.183716, -10.751014, -11.465712, -12.950526, -11.146475, -9.600047, -11.018554, -10.38389, -10.436369, -21.091284, -17.632751, -14.434902, -17.493061, -27.722805, -25.004301, -22.753817, -18.821226, -18.759613, -19.741915, -18.60642, -14.838643, -12.570452, -13.287729, -8.235792, -13.085635, -21.893345, -29.843922, -21.267519, -15.581269, -14.604001, -20.07433, -16.903833, -14.51149, -14.268433, -8.273339, -12.760545, -14.152806, -13.71487, -10.719122, -12.051531, -13.057974, -9.675162, -11.381574, -15.24805, -14.560791, -10.485726, -13.087739, -14.806409, -12.1053295, -14.19097, -19.14338, -17.773962, -13.430137, -15.899835, -18.439117, -16.550121, -12.038112, -13.822843, -16.380999, -19.38467, -18.11067, -16.151133, -16.626427, -26.662748, -27.296598, -19.856133, -17.127161, -20.129965, -22.484688, -22.589502, -18.772875, -18.5362, -24.425749
1459012046.585000, /muse/elements/low_freqs_absolute, 0.559231, 0.5430905, -0.04050256, 0.58959526
1459012046.585000, /muse/elements/alpha_absolute, 0.9638906, 0.10419486, -0.43517077, 1.0334226
1459012046.585000, /muse/elements/beta_absolute, 0.3816484, 0.030535838, -0.36696497, 0.7563027
1459012046.585000, /muse/elements/delta_absolute, 0.3581428, 0.42476258, -0.38942036, 0.27014965
1459012046.585000, /muse/elements/gamma_absolute, 0.25628933, 0.039972622, -0.48258618, 0.4992087
1459012046.585000, /muse/elements/theta_absolute, 0.1281617, -0.0794279, -0.29840463, 0.30623168
1459012046.585000, /muse/elements/alpha_session_score, 0.2888889, 0.5121951, 0.0, 0.6
1459012046.585000, /muse/elements/beta_session_score, 0.0, 0.6, 0.3809524, 0.0
1459012046.585000, /muse/elements/delta_session_score, 0.30555555, 0.7671233, 0.22608696, 0.23140496
1459012046.585000, /muse/elements/gamma_session_score, 0.23913044, 0.8918919, 0.70731705, 0.14285715
1459012046.585000, /muse/elements/theta_session_score, 0.0, 0.3137255, 0.5081967, 0.28333333
1459012046.585000, /muse/eeg/quantization, 1, 1, 1, 1
1459012046.586000, /muse/eeg, 857.0347, 832.36005, 842.2299, 834.005
1459012046.586000, /muse/eeg, 857.0347, 835.65, 840.58496, 822.4902
1459012046.586000, /muse/eeg, 860.3247, 837.295, 840.58496, 824.13513
1459012046.586000, /muse/eeg, 858.67975, 830.7151, 840.58496, 835.65
1459012046.586000, /muse/eeg, 858.67975, 825.78015, 842.2299, 843.87494
